"W_Year","W_Month","W_Day","W_Max_Dp","W_Avg_dp","W_Min_Dp","W_Max_wind","W_Avg_wind","W_Min_wind","W_Max_humid","W_Avg_humid","W_Min_humid"
"3: 2019","Oct","Oct","Max","Avg","Min","Max","Avg","Min","Max","Avg","Min"
"3: 2019","Oct","1","72","65.7","59","26","9.4","0","100","91.9","78"
"3: 2019","Oct","2","66","58.2","41","20","9.5","2","100","90.8","67"
"3: 2019","Oct","3","54","50.9","43","26","11.2","0","100","91.5","71"
"3: 2019","Oct","4","52","41.6","37","14","8.1","3","94","72.7","54"
"3: 2019","Oct","5","50","43.5","39","23","14.5","6","82","70.5","63"
"3: 2019","Oct","6","61","54.9","46","17","10.6","6","94","78.1","55"
"3: 2019","Oct","7","55","48.2","39","21","9.9","2","77","65.8","45"
"3: 2019","Oct","8","52","45.8","41","10","6.2","0","88","71.7","48"
"3: 2019","Oct","9","54","49.8","46","18","12.6","5","88","76.7","63"
"3: 2019","Oct","10","54","50.3","48","22","13.1","7","88","77.6","63"
"3: 2019","Oct","11","55","51.9","46","23","15.6","8","94","76.3","59"
"3: 2019","Oct","12","54","48.3","36","23","11.4","5","94","79.0","47"
"3: 2019","Oct","13","50","42.9","36","24","12.8","0","93","65.2","42"
"3: 2019","Oct","14","39","34.2","28","23","14.7","8","66","55.1","41"
"3: 2019","Oct","15","50","40.9","36","17","9.2","2","82","67.4","54"
"3: 2019","Oct","16","55","50.4","41","23","11.0","5","100","86.1","71"
"3: 2019","Oct","17","45","40.5","36","28","16.3","5","87","77.1","66"
"3: 2019","Oct","18","39","35.6","34","16","8.8","2","76","64.2","51"
"3: 2019","Oct","19","48","41.4","34","15","9.0","2","94","81.0","67"
"3: 2019","Oct","20","52","48.3","46","15","9.0","0","94","87.0","77"
"3: 2019","Oct","21","52","50.3","45","25","15.7","0","100","88.2","76"
"3: 2019","Oct","22","57","53.2","41","22","12.3","7","100","87.3","58"
"3: 2019","Oct","23","43","39.9","36","28","18.2","7","76","62.5","44"
"3: 2019","Oct","24","48","42.2","36","21","13.0","3","82","66.3","51"
"3: 2019","Oct","25","45","41.3","36","13","5.3","0","87","76.0","66"
"3: 2019","Oct","26","50","42.3","32","24","14.6","0","94","80.2","66"
"3: 2019","Oct","27","55","51.0","46","28","19.1","8","100","91.2","77"
"3: 2019","Oct","28","50","48.3","43","13","8.4","2","100","86.7","71"
"3: 2019","Oct","29","52","49.8","48","10","3.9","0","100","94.0","77"
"3: 2019","Oct","30","46","42.7","37","16","9.2","5","100","82.1","62"
"3: 2019","Oct","31","54","46.5","39","46","16.4","0","100","92.0","76"
