"W_Year","W_Month","W_Day","W_Max_Dp","W_Avg_dp","W_Min_Dp","W_Max_wind","W_Avg_wind","W_Min_wind","W_Max_humid","W_Avg_humid","W_Min_humid"
"2: 2020","Aug","Aug","Max","Avg","Min","Max","Avg","Min","Max","Avg","Min"
"2: 2020","Aug","1","70","66.4","63","15","7.5","0","94","80.1","65"
"2: 2020","Aug","2","73","69.3","63","23","13.6","3","100","92.8","78"
"2: 2020","Aug","3","66","64.5","61","17","9.1","2","100","88.8","73"
"2: 2020","Aug","4","70","66.5","61","16","6.5","0","100","90.6","83"
"2: 2020","Aug","5","61","54.7","46","17","11.1","5","88","66.7","43"
"2: 2020","Aug","6","59","55.0","52","8","5.0","2","94","68.5","47"
"2: 2020","Aug","7","63","59.6","55","8","3.6","0","88","73.4","57"
"2: 2020","Aug","8","64","60.2","54","16","6.2","0","88","69.9","51"
"2: 2020","Aug","9","68","66.2","63","21","8.8","2","94","84.9","78"
"2: 2020","Aug","10","72","68.3","64","13","6.1","0","94","83.4","70"
"2: 2020","Aug","11","70","65.8","54","17","9.0","0","88","71.2","44"
"2: 2020","Aug","12","63","58.5","52","9","3.7","0","88","67.9","35"
"2: 2020","Aug","13","66","61.9","57","8","5.5","0","83","64.4","48"
"2: 2020","Aug","14","64","61.3","57","16","11.7","3","73","61.1","50"
"2: 2020","Aug","15","72","65.1","55","18","12.1","8","94","77.1","61"
"2: 2020","Aug","16","70","66.5","64","9","4.4","0","100","84.6","65"
"2: 2020","Aug","17","66","62.5","59","23","9.6","2","94","81.9","61"
"2: 2020","Aug","18","59","55.0","48","16","9.6","5","82","61.9","44"
"2: 2020","Aug","19","52","49.3","43","12","7.1","2","77","55.0","36"
"2: 2020","Aug","20","66","57.4","50","20","8.3","0","77","68.3","60"
"2: 2020","Aug","21","68","63.6","54","13","7.7","2","88","69.6","51"
"2: 2020","Aug","22","72","68.9","66","12","6.2","0","94","82.0","65"
"2: 2020","Aug","23","70","67.5","64","14","5.5","0","94","74.8","51"
"2: 2020","Aug","24","73","70.1","64","16","8.7","3","94","77.5","43"
"2: 2020","Aug","25","72","62.9","54","17","11.2","6","94","65.1","39"
"2: 2020","Aug","26","66","59.1","48","13","5.4","0","100","79.3","60"
"2: 2020","Aug","27","72","67.7","63","20","8.9","0","100","83.0","54"
"2: 2020","Aug","28","66","62.3","59","13","7.7","2","100","80.5","64"
"2: 2020","Aug","29","70","64.4","54","28","14.6","3","94","79.6","53"
"2: 2020","Aug","30","59","55.3","52","16","7.3","0","82","71.2","50"
"2: 2020","Aug","31","64","59.0","54","24","12.1","2","88","73.3","57"
