date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,-1.3,-4.1,1.6,8,10,90.6,13.7,46,1025.4,
2021-01-02,-0.7,-2.5,1.2,6.8,70,337,14.2,42,1015.3,
2021-01-03,0.2,-0.8,1.1,1.6,40,32.8,10.2,,1015.8,
2021-01-04,0.2,-0.8,1.1,0,20,339.4,6.8,,1016.7,
2021-01-05,0.5,-0.1,1,0.2,20,51.2,7.8,,1016.5,
2021-01-06,0.4,-1.2,2,0.2,20,340.4,19.4,46,1023.9,
2021-01-07,-3.9,-7.1,-0.6,0,20,352.1,17.2,39,1027.2,
2021-01-08,-6.4,-9.3,-3.5,0,20,352.9,16.4,35,1023.8,
2021-01-09,-0.5,-4.3,3.3,0,20,345.4,19,33,1022.5,
2021-01-10,-1.9,-5.6,1.9,0,20,274.2,10.6,,1026.1,
2021-01-11,-3,-6.1,0.2,0,20,249.7,13.9,41,1023.2,
2021-01-12,-1.7,-2.1,-1.2,0,10,240.4,15.8,32,1019.6,
2021-01-13,0.9,-1.4,3.1,0,10,216.8,12.7,39,1011.1,
2021-01-14,1.9,-0.8,4.6,0,10,180.7,8.4,33,1008.7,
2021-01-15,3.4,1.2,5.6,5,0,106.5,21.8,48,1006.7,
2021-01-16,1.1,-2.6,4.7,0,,262,16.9,48,1000.9,
2021-01-17,0.8,-2.7,4.2,0.6,,290.2,20,48,1001.4,
2021-01-18,-1.9,-4.6,0.9,0,0,318.6,8.9,45,1008.7,
2021-01-19,-1.3,-2.6,-0.1,0.6,0,247.7,21.5,58,1015.3,
2021-01-20,-5,-7.7,-2.2,0,0,276.7,17.6,45,1016.9,
2021-01-21,0.7,-1.8,3.1,0.2,0,232.7,21.2,46,1000.8,
2021-01-22,-3.4,-7.8,1,0.4,0,286.7,27.8,58,1008.6,
2021-01-23,-8.7,-12.6,-4.8,0,,309.5,19.4,48,1025,
2021-01-24,-5,-7.2,-2.7,0,,188.5,6.2,,1025.5,
2021-01-25,-0.9,-3.7,1.9,0,,310.9,6.3,,1019.8,
2021-01-26,-2.6,-4.6,-0.5,7.4,60,41.8,22.4,50,1011.5,
2021-01-27,-6.8,-10.2,-3.3,0,80,335,19,35,1023,
2021-01-28,-10.8,-13.8,-7.8,0,60,322.5,22.1,58,1029.5,
2021-01-29,-10.9,-14.6,-7.1,0.2,50,350.5,13.5,41,1028.7,
2021-01-30,-8,-13.8,-2.2,0,,0.7,5.8,,1028.7,
2021-01-31,-7.9,-10.6,-5.2,0,50,58,17.9,46,1023.6,
2021-02-01,-7.5,-11.3,-3.7,0,40,8.4,18.3,33,1020.5,
2021-02-02,-5.3,-9.6,-0.9,0,30,350.8,28.3,67,1013.9,
2021-02-03,-2.9,-6.3,0.6,0,20,336.3,31.5,61,1011.6,
2021-02-04,-1.5,-7.2,4.3,1.4,20,156.8,13.3,42,1012.2,
2021-02-05,-3.2,-8,1.7,5.2,20,214.5,28.7,65,999.7,
2021-02-06,-7.7,-9.4,-6,0,10,229.6,24,61,1013.6,
2021-02-07,-9.8,-13.3,-6.2,0.6,20,257.3,20.6,46,1018.2,
2021-02-08,-10,-13.4,-6.5,0.2,10,267.6,15,,1027.8,
2021-02-09,-7.1,-11.4,-2.7,1,20,320.2,11.9,,1025.8,
2021-02-10,-9.3,-13.2,-5.3,0,10,270.9,15.5,,1028.3,
2021-02-11,-8,-11.2,-4.7,0,10,336.2,16,35,1029.3,
2021-02-12,-11.3,-14.2,-8.3,1.8,10,16.7,15.5,,1031.2,
2021-02-13,-11.5,-13.9,-9.1,2.2,20,35.6,16.9,,1028.6,
2021-02-14,-9.4,-14.8,-4,0.4,60,319.4,9.9,,1026.8,
2021-02-15,-7,-9.7,-4.2,3.2,20,356.3,16.5,46,1024.7,
2021-02-16,-11.2,-15.3,-7,8.8,120,343.8,26.9,54,1011.9,
2021-02-17,-8.7,-16,-4.6,0,,279.7,12.7,,1029.6,
2021-02-18,-5.9,-9.2,-3.6,1,,46.9,15.1,,1029.5,
2021-02-19,-4.9,-7.2,-2.5,7.8,180,331.2,12.5,,1022.1,
2021-02-20,-6.6,-11.4,-1.8,0.4,160,297.2,14.9,50,1024.3,
2021-02-21,-7,-12.4,-1.5,0,120,205.6,10,,1031,
2021-02-22,0.6,-1.7,2.8,4.8,140,194.9,21,59,1006.9,
2021-02-23,1.8,-0.7,4.3,0.2,100,245,20.4,50,1003,
2021-02-24,3.9,-0.6,8.4,0,60,237.3,22.5,67,1008.2,
2021-02-25,-1.4,-3.7,0.9,0,10,291.6,23.3,54,1022.8,
2021-02-26,-1.6,-6.9,3.8,0,0,185.8,12.3,,1027.2,
2021-02-27,2.6,-0.7,5.8,6.2,0,200.1,16.4,52,1017,
2021-02-28,2.4,-1.7,6.5,1,,96.6,9.6,46,1015.1,
2021-03-01,-2.2,-9.8,5.4,0,0,302.7,39.6,84,1012.4,
2021-03-02,-6.7,-13.6,0.2,0,,240.9,15.8,45,1023.4,
2021-03-03,2.2,-2.8,7.2,0,,285.7,18.3,39,1012.3,
2021-03-04,-3.6,-8,0.8,0,0,336.8,28.8,58,1020.3,
2021-03-05,-4.4,-10.3,1.6,0,,309,30.2,67,1019.5,
2021-03-06,-4.7,-9.2,-0.2,0,,316,22.4,48,1022.8,
2021-03-07,-5.4,-10.3,-0.4,0,,339.9,11,,1030.3,
2021-03-08,0.2,-9.2,9.6,0.2,,225.1,10.4,37,1027,
2021-03-09,4.2,-2.3,10.6,0,,269.8,10.2,,1028,
2021-03-10,6.5,-2.3,15.3,0,,123,9.3,37,1023,
2021-03-11,12.4,5.5,19.3,2,,229.4,33.5,85,1013.1,
2021-03-12,3.3,-4.8,11.3,0,,292.5,30.6,76,1022.7,
2021-03-13,-0.7,-7,5.6,0,,274.9,21.8,48,1027.1,
2021-03-14,-1.3,-6.1,3.5,0,,324,29.4,74,,
2021-03-15,-5,-9,-1,0,,50.3,16,37,1032.8,
2021-03-16,0.8,-1.9,3.5,0,,82.9,15.9,43,1020.3,
2021-03-17,5.1,1.2,9,0,,49.6,7.4,,1018.1,
2021-03-18,2.3,-2.3,6.8,0.4,,20.7,24.6,55,1018,
2021-03-19,-0.8,-5.3,3.7,0,,31.9,17.6,37,1032,
2021-03-20,6.3,-2.4,14.9,0,,255.7,8.1,33,1034.2,
2021-03-21,6.5,-2,14.9,0,,72.8,7.3,,1031.7,
2021-03-22,7.6,-1,16.1,0,,82.9,9,,1024.5,
2021-03-23,8.2,0.8,15.5,0,,86.4,7.2,,1020.7,
2021-03-24,12.1,6.6,17.6,0.8,,117.4,9.9,31,1012.5,
2021-03-25,14.5,7.5,21.5,1,,215.5,15.2,41,1011.4,
2021-03-26,6.9,3.3,10.5,34.6,,345.6,23.9,72,1006.9,
2021-03-27,5.8,3.3,8.2,0.2,,115.1,10.6,,1019.4,
2021-03-28,6.2,2.3,10.1,6.2,,340.9,22,74,1002.9,
2021-03-29,3.2,-0.7,7.1,0,,274.2,24.7,61,1019.3,
2021-03-30,10.4,0.5,20.3,0,,171.4,16.8,64,1015.3,
2021-03-31,7.4,0.1,14.7,0,,292.9,20.8,49,1013.1,
2021-04-01,-0.2,-2.9,2.6,0,,330.9,30.1,63,1022,
2021-04-02,0.3,-4.2,4.7,0,,340.5,24.2,54,1028.9,
2021-04-03,2.2,-5.1,9.5,0,,197.6,13.5,55,1025.5,
2021-04-04,6.8,-1.5,15.1,0,,355.7,10.4,,1021.1,
2021-04-05,7.8,2,13.5,0,,134.8,9.1,,1020.7,
2021-04-06,8,1.8,14.1,0,,90.4,11.1,,1017,
2021-04-07,11.1,4.8,17.4,0,,76.2,12.5,35,1016.1,
2021-04-08,14.6,8.5,20.6,0,,82.3,16.7,48,1012.5,
2021-04-09,15.6,11.6,19.5,0.2,,129.9,11,31,1011.5,
2021-04-10,15.4,10.3,20.4,0.2,,121.4,10.8,35,1008.2,
