date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2019-01-01,-1.4,-8,5.2,0.6,,325.6,24.5,58,1015.1,
2019-01-02,-4.9,-9.3,-0.5,3.6,0,68.1,10.1,,1023,
2019-01-03,-1,-2.8,0.8,0.2,30,249,20.2,46,1013.3,
2019-01-04,3.6,-0.8,8,0,30,244.4,22.9,54,1007.6,
2019-01-05,1.2,-1.7,4,0,0,302,13.4,33,1006.1,
2019-01-06,-1.7,-7.3,4,0,,343.1,23.4,52,1021.3,
2019-01-07,-1.4,-8.4,5.7,2.8,0,100.3,21.3,63,1023.2,
2019-01-08,5.3,2.4,8.2,3.8,,246.8,12.9,50,1004.6,
2019-01-09,-1.3,-4.9,2.3,0,0,299.2,32.2,71,1007.9,
2019-01-10,-8,-11.4,-4.6,0,0,317.1,32.4,61,1018.8,
2019-01-11,-10.7,-13.8,-7.5,0,0,333.2,17.1,41,1030.2,
2019-01-12,-6.7,-9,-4.3,0,,27.1,10.6,,1034.3,
2019-01-13,-8.7,-11.9,-5.4,0,,53.3,13.1,,1032.4,
2019-01-14,-4.3,-7.8,-0.8,0,,284.8,8.7,,1026,
2019-01-15,-2,-4.1,0.1,0,,238,19.5,54,1019.1,
2019-01-16,-6.3,-12.2,-0.3,0.4,0,288.2,27.1,63,1019.2,
2019-01-17,-8.4,-13.2,-3.5,0.6,0,86.6,7.8,,1025,
2019-01-18,-5.4,-10.4,-0.4,1.6,20,297.7,15.8,46,1018.4,
2019-01-19,-13.6,-16.8,-10.3,5.4,0,18.7,21.6,42,1023.3,
2019-01-20,-18,-21.8,-14.2,1.6,80,346.7,34.5,67,1015.3,
2019-01-21,-16.7,-21.7,-11.7,0,70,320.1,25.3,54,1030.4,
2019-01-22,-9.9,-19.1,-0.6,0.2,70,147.1,9.3,35,1032.2,
2019-01-23,2.5,-1.2,6.1,10.8,50,181.7,12.6,37,1009.3,
2019-01-24,-0.4,-3.5,2.8,0.6,0,286.6,22.3,46,1003.5,
2019-01-25,-7.6,-12,-3.2,0.8,0,252.1,31.4,72,1013.1,
2019-01-26,-10.5,-14.3,-6.6,0.4,20,229.3,15.7,37,1020.3,
2019-01-27,-11.1,-16.1,-6,9.6,80,264.6,23.8,63,1013.3,
2019-01-28,-12.7,-19.7,-5.7,19.6,50,49.8,19.3,71,1016.4,
2019-01-29,-8.8,-15.5,-2.1,4.8,380,219.3,25.7,58,1006.7,
2019-01-30,-19,-22.6,-15.4,0.2,300,239.5,31.4,67,1013.6,
2019-01-31,-18.6,-22.8,-14.4,0,300,247.9,35.2,58,1024.1,
2019-02-01,-14.6,-19.1,-10.1,0,280,259.6,15.3,37,1028.7,
2019-02-02,-6.9,-14.8,1.1,0.4,220,241.1,13.5,33,1019.8,
2019-02-03,3.9,0,7.7,0.2,190,204.8,12.3,46,1013.3,
2019-02-04,9.2,5.6,12.7,2.2,40,178.9,11.1,46,1010.2,
2019-02-05,1.3,-7.1,9.6,0,0,321.1,21.7,48,1017.2,
2019-02-06,-3.9,-6.7,-1.1,16.8,0,59.6,14.6,46,1018.2,
2019-02-07,0.2,-3.3,3.6,0.6,20,61.2,11.8,58,1013.6,
2019-02-08,-2.2,-9.6,5.3,0.4,10,259.8,43.1,89,1016,
2019-02-09,-7,-10,-3.9,0,10,275.6,25,52,1039.5,
2019-02-10,-6.5,-9.5,-3.5,0.4,10,272.6,10.5,,1035.4,
2019-02-11,-5.2,-6.7,-3.7,0.8,20,60.3,17.9,39,1028.2,
2019-02-12,-3.6,-7.9,0.8,18.2,20,87,26.1,63,1012.7,
2019-02-13,-2.2,-5.2,0.8,5,80,241.6,31.4,71,1001.5,
2019-02-14,-2,-5.7,1.7,0.2,120,183.3,17.6,52,1011,
2019-02-15,-0.5,-4.6,3.7,1.4,60,233.9,28.1,74,1001.6,
2019-02-16,-5.3,-7.8,-2.7,0.2,50,329.5,17.6,41,1016.8,
2019-02-17,-8.5,-11,-6,0.2,50,47.3,16.8,35,1019.2,
2019-02-18,-10.1,-14.4,-5.7,2.4,80,351.3,21.5,39,1021.1,
2019-02-19,-9.9,-15.8,-4,0,90,269.4,12.7,33,1036.6,
2019-02-20,-5.9,-11.9,0.1,1.2,70,77.9,14.6,45,1024.2,
2019-02-21,-0.1,-3.2,3,0,40,258.3,24.3,58,1015.2,
2019-02-22,-1.7,-5.1,1.8,0,20,287.5,9.3,,1030,
2019-02-23,-1.6,-5.4,2.3,0,20,67.5,15.5,45,1025.1,
2019-02-24,1.9,-3.1,6.9,6.8,10,177.6,33,87,994.7,
2019-02-25,-5.6,-8.2,-3,1,20,276.6,44.1,87,1014.2,
2019-02-26,-8.2,-10.6,-5.8,0,30,322.2,19.9,46,1032,
2019-02-27,-10.6,-13.6,-7.6,17.6,30,45.2,17.2,37,1025.2,
2019-02-28,-12.1,-17.3,-6.8,0,210,9.6,10.3,,1025.2,
2019-03-01,-7,-13.4,-0.5,0,190,66.2,7.1,,1024.3,
2019-03-02,-3.6,-6.3,-0.8,4.4,150,348.4,11.7,33,1020.1,
2019-03-03,-5.6,-9.2,-2,0.4,180,296.3,12.8,39,1019.1,
2019-03-04,-11,-14.1,-7.8,0,150,296.5,21,52,1016.3,
2019-03-05,-12,-15.3,-8.6,0,130,248.2,23.8,58,1015.9,
2019-03-06,-12,-14.8,-9.2,0,110,267.8,20.9,48,1021.5,
2019-03-07,-10,-14.2,-5.8,0,110,275.1,18.8,46,1025.6,
2019-03-08,-8.1,-15,-1.1,0,110,244.5,9.1,,1025.4,
