new_date,n_Trips,n_bikes,Trip Duration,n_Annual,n_Casual
2021-12-01,7068,2486,4867646,5580.0,1488.0
2021-12-02,6887,2445,4880857,5341.0,1546.0
2021-12-03,7212,2488,5038226,5600.0,1612.0
2021-12-04,5869,2299,5829404,4235.0,1634.0
2021-12-05,4131,1845,2955704,2987.0,1144.0
2021-12-06,4907,1976,3046727,3907.0,1000.0
2021-12-07,5771,2161,3771621,4577.0,1194.0
2021-12-08,3825,1509,2852714,3046.0,779.0
2021-12-09,4908,1836,3353531,3850.0,1058.0
2021-12-10,6683,2263,5302337,5102.0,1581.0
2021-12-11,5674,2156,4322684,4022.0,1652.0
2021-12-12,5556,2198,4421268,3801.0,1755.0
2021-12-13,6691,2437,4929438,5079.0,1612.0
2021-12-14,6718,2368,4826481,5094.0,1624.0
2021-12-15,5815,2033,4160878,4480.0,1335.0
2021-12-16,6882,2362,5227680,5236.0,1646.0
2021-12-17,6984,2371,5850059,5188.0,1796.0
2021-12-18,1874,1018,1522688,1408.0,466.0
2021-12-19,2568,1037,1970182,1863.0,705.0
2021-12-20,3984,1622,2897842,2963.0,1021.0
2021-12-21,4706,1923,3588239,3482.0,1224.0
2021-12-22,3633,1652,2780784,2721.0,912.0
2021-12-23,3723,1668,2696122,2687.0,1036.0
2021-12-24,2740,1309,1987443,1913.0,827.0
2021-12-25,1647,877,1584605,976.0,671.0
2021-12-26,2656,1354,2286257,1655.0,1001.0
2021-12-27,1265,756,955753,873.0,392.0
2021-12-28,3054,1466,2356616,2025.0,1029.0
2021-12-29,3521,1668,2896184,2440.0,1081.0
2021-12-30,4065,1785,2938443,2836.0,1229.0
2021-12-31,4832,1973,4279555,3186.0,1646.0
