new_date,n_Trips,n_bikes,Trip Duration,n_Annual,n_Casual,W_Temp_Max,W_Temp_Avg,W_Temp_Min,W_Max_wind,W_Avg_wind,W_Min_wind,W_Wind_Gust,W_Air_Pressure,W_Snow_Depth,W_Max_humid,W_Avg_humid,W_Min_humid,W_Max_Dp,W_Avg_dp,W_Min_Dp
2021-12-01,7068,2486,4867646,5580.0,1488.0,5.0,2.1,-0.8,27.4,17.4,8.0,39.0,1016.2,20.0,81.0,72.5,61.0,2.2,-0.4,-2.8
2021-12-02,6887,2445,4880857,5341.0,1546.0,10.5,5.9,1.3,51.5,28.8,4.8,67.0,1002.3,0.0,100.0,80.2,50.0,6.1,3.1,-3.9
2021-12-03,7212,2488,5038226,5600.0,1612.0,1.5,0.5,-0.6,33.8,23.8,9.7,53.0,1017.6,0.0,65.0,56.4,48.0,-2.8,-6.4,-7.8
2021-12-04,5869,2299,5829404,4235.0,1634.0,5.2,2.3,-0.7,46.7,25.1,4.8,59.0,1018.4,0.0,81.0,63.5,45.0,0.0,-3.3,-6.1
2021-12-05,4131,1845,2955704,2987.0,1144.0,4.1,0.2,-3.8,53.1,31.2,4.8,55.0,1021.5,10.0,100.0,81.2,56.0,3.9,-0.8,-6.1
2021-12-06,4907,1976,3046727,3907.0,1000.0,11.2,4.4,-2.4,62.8,33.3,4.8,84.0,1002.6,0.0,100.0,83.5,56.0,7.8,2.1,-6.1
2021-12-07,5771,2161,3771621,4577.0,1194.0,-1.6,-4.4,-7.2,33.8,24.5,14.5,42.0,1020.8,0.0,80.0,64.4,51.0,-3.9,-7.9,-11.1
2021-12-08,3825,1509,2852714,3046.0,779.0,-1.0,-3.8,-6.6,27.4,10.6,0.0,35.0,1017.2,10.0,93.0,82.9,50.0,-2.2,-5.3,-12.8
2021-12-09,4908,1836,3353531,3850.0,1058.0,0.1,-2.9,-5.3,25.7,20.1,8.0,37.0,1019.9,20.0,100.0,80.3,59.0,0.0,-3.9,-8.9
2021-12-10,6683,2263,5302337,5102.0,1581.0,5.6,3.2,0.8,40.2,17.7,0.0,31.0,1014.2,20.0,93.0,82.6,70.0,2.8,1.2,-1.1
2021-12-11,5674,2156,4322684,4022.0,1652.0,17.9,9.5,1.1,70.8,36.4,3.2,96.0,996.7,0.0,100.0,87.2,54.0,10.0,3.9,-3.9
2021-12-12,5556,2198,4421268,3801.0,1755.0,6.9,3.1,-0.7,40.2,29.3,20.9,60.0,1016.5,0.0,81.0,68.4,56.0,1.1,-1.7,-3.9
2021-12-13,6691,2437,4929438,5079.0,1612.0,9.3,5.9,2.4,35.4,25.1,14.5,46.0,1020.7,0.0,87.0,68.9,57.0,2.8,0.5,-1.1
2021-12-14,6718,2368,4826481,5094.0,1624.0,6.8,3.8,0.7,37.0,22.2,9.7,44.0,1034.0,0.0,87.0,76.5,65.0,2.2,0.3,-1.1
2021-12-15,5815,2033,4160878,4480.0,1335.0,12.9,8.3,3.6,38.6,21.7,4.8,38.0,1023.8,0.0,87.0,82.3,66.0,5.0,2.6,0.0
2021-12-16,6882,2362,5227680,5236.0,1646.0,17.1,10.4,3.6,53.1,28.2,3.2,94.0,1006.1,0.0,94.0,68.9,47.0,8.9,4.6,-2.2
2021-12-17,6984,2371,5850059,5188.0,1796.0,5.2,2.4,-0.4,35.4,25.6,11.3,53.0,1020.6,0.0,70.0,59.0,46.0,-2.2,-3.7,-6.1
2021-12-18,1874,1018,1522688,1408.0,466.0,0.3,-1.6,-3.4,41.8,27.2,8.0,40.0,1018.8,0.0,100.0,84.6,65.0,0.0,-2.6,-6.1
2021-12-19,2568,1037,1970182,1863.0,705.0,-2.5,-4.5,-6.8,25.7,13.5,3.2,32.0,1026.0,80.0,80.0,72.0,51.0,-6.1,-7.7,-11.1
2021-12-20,3984,1622,2897842,2963.0,1021.0,3.7,-1.0,-7.8,37.0,20.4,3.2,46.0,1021.2,40.0,81.0,75.5,69.0,0.0,-3.6,-8.9
2021-12-21,4706,1923,3588239,3482.0,1224.0,3.4,1.1,-1.2,29.0,18.2,0.0,35.0,1013.6,10.0,81.0,67.5,52.0,0.0,-3.2,-7.2
2021-12-22,3633,1652,2780784,2721.0,912.0,3.5,-0.3,-4.1,51.5,34.1,14.5,69.0,1007.8,10.0,80.0,66.3,55.0,1.1,-6.1,-8.9
2021-12-23,3723,1668,2696122,2687.0,1036.0,-0.5,-3.6,-6.6,24.1,16.6,8.0,33.0,1019.3,10.0,93.0,80.4,51.0,-1.1,-4.1,-10.0
2021-12-24,2740,1309,1987443,1913.0,827.0,2.8,1.1,-0.6,48.3,24.0,4.8,32.0,1012.0,50.0,93.0,90.2,81.0,2.2,0.1,-1.1
2021-12-25,1647,877,1584605,976.0,671.0,7.0,4.7,2.3,38.6,19.2,0.0,48.0,1001.3,0.0,100.0,92.5,76.0,5.0,3.7,1.1
2021-12-26,2656,1354,2286257,1655.0,1001.0,3.2,-1.2,-5.5,27.4,20.1,8.0,37.0,1017.6,0.0,81.0,69.2,56.0,1.1,-2.8,-7.8
2021-12-27,1265,756,955753,873.0,392.0,0.1,-3.1,-6.2,59.5,38.9,9.7,48.0,1014.1,40.0,100.0,90.9,68.0,1.1,-2.3,-10.0
2021-12-28,3054,1466,2356616,2025.0,1029.0,2.3,0.9,-0.6,40.2,17.2,3.2,57.0,1009.8,20.0,100.0,80.5,56.0,2.2,-1.4,-5.0
2021-12-29,3521,1668,2896184,2440.0,1081.0,2.2,1.0,-0.3,32.2,20.8,4.8,0.0,1011.7,10.0,100.0,91.1,81.0,2.8,0.9,-1.1
