"W_Year","W_Month","W_Day","W_Max_Dp","W_Avg_dp","W_Min_Dp","W_Max_wind","W_Avg_wind","W_Min_wind","W_Max_humid","W_Avg_humid","W_Min_humid"
"1: 2021","Sep","Sep","Max","Avg","Min","Max","Avg","Min","Max","Avg","Min"
"1: 2021","Sep","1","57","52.4","45","18","11.1","0","68","56.7","36"
"1: 2021","Sep","2","50","46.3","41","18","10.5","3","72","52.2","40"
"1: 2021","Sep","3","57","52.8","46","9","6.8","3","82","64.9","43"
"1: 2021","Sep","4","63","59.2","52","8","5.9","2","82","70.4","57"
"1: 2021","Sep","5","66","60.8","52","30","10.8","3","94","73.0","39"
"1: 2021","Sep","6","59","49.9","0","22","12.3","3","88","63.6","0"
"1: 2021","Sep","7","66","60.6","54","28","8.2","0","94","81.4","57"
"1: 2021","Sep","8","66","61.1","54","26","11.7","6","94","80.8","42"
"1: 2021","Sep","9","57","49.9","0","14","10.0","6","88","63.4","0"
"1: 2021","Sep","10","57","53.4","50","10","7.1","2","82","68.1","53"
"1: 2021","Sep","11","63","57.8","50","18","9.1","2","94","76.9","68"
"1: 2021","Sep","12","63","57.2","45","8","4.7","2","100","77.5","36"
"1: 2021","Sep","13","59","55.6","52","12","6.0","0","94","77.3","64"
"1: 2021","Sep","14","66","61.3","54","22","9.4","2","94","86.9","72"
"1: 2021","Sep","15","66","58.3","0","14","6.3","0","100","82.6","0"
"1: 2021","Sep","16","63","58.3","54","10","7.5","0","94","79.1","72"
"1: 2021","Sep","17","68","64.6","61","8","5.7","0","100","88.2","73"
"1: 2021","Sep","18","66","55.7","0","13","6.8","2","100","68.9","0"
"1: 2021","Sep","19","57","52.5","46","15","9.5","3","77","66.7","59"
"1: 2021","Sep","20","66","60.4","50","17","9.7","2","88","79.8","59"
"1: 2021","Sep","21","66","63.8","0","15","7.6","0","94","85.3","0"
"1: 2021","Sep","22","66","60.0","0","23","11.0","0","100","92.5","0"
"1: 2021","Sep","23","61","53.4","0","29","11.9","0","100","82.9","0"
"1: 2021","Sep","24","55","50.4","0","25","15.6","0","94","78.5","0"
"1: 2021","Sep","25","59","55.1","50","21","11.3","2","100","80.0","68"
"1: 2021","Sep","26","54","49.0","45","17","8.9","0","77","66.9","49"
"1: 2021","Sep","27","61","58.1","55","14","6.8","0","94","80.9","61"
"1: 2021","Sep","28","57","44.8","37","12","7.4","2","82","60.1","37"
"1: 2021","Sep","29","52","45.2","34","14","8.7","6","82","59.5","36"
"1: 2021","Sep","30","46","42.3","0","9","5.5","0","76","61.2","0"
