Product_name,Product_Wine_price1,Product_wine_size,Product_wine_id,Product_Number_review,Product_Alcohol_Vol,Product_Made_in,Product_By,Product_Sugar_content,Product_sweetness_descriptor,Product_Style,Product_Varietal,Product_Release_date
Sogrape Mateus Ros̩,$10.95,750 mL bottle |,LCBO#: 166,"4.6
(5)",11%,Portugal,Sogrape,18 g/L,D - Dry,Soft & Off-dry,Ros̩,
Mommessin Cuvee St Pierre Rouge,$8.30,750 mL bottle |,LCBO#: 513,"4.0
(1)",12%,France,Mommessin S.A.,3 g/L,XD - Extra Dry,Light-bodied & Fruity,Blend,
Chiarli Castelvetro Lambrusco,$10.95,750 mL bottle |,LCBO#: 604,"4.2
(10)",8%,"Emilia-Romagna, Italy",C. Chiarli & Figli,49 g/L,S - Sweet,Light & Fruity,Sparkling,
Blue Nun Deutscher Tafelwein,$9.95,750 mL bottle |,LCBO#: 729,"4.3
(3)",9.50%,Germany,H. Sichel Sohne G.M.B.H.,31 g/L,M - Medium,Off-dry & Fruity,Blend,
Folonari Valpolicella Classico DOC,$15.45,750 mL bottle |,LCBO#: 828,"4.2
(5)",12.50%,"Veneto, Italy",Folonari S.P.A.,2 g/L,XD - Extra Dry,Light-bodied & Fruity,Valpolicella,
Mouton Cadet Bordeaux Red AOC,$17.70,750 mL bottle |,LCBO#: 943,"4.2
(6)",14%,"Bordeaux, France",Baron Philippe De Rothschild S.A.,3 g/L,XD - Extra Dry,Full-bodied & Smooth,Merlot/Cabernet Sauvignon,
Andr̬s Baby Duck,$12.60,1500 mL bottle |,LCBO#: 1123,"5.0
(2)",7%,Canada,Andrew Peller Limited,49 g/L,S - Sweet,Light & Fruity,Sparkling,
Fontana Di Papa White,$15.10,1500 mL bottle |,LCBO#: 1511,"3.0
(2)",11%,"Lazio, Italy",Fontana Di Papa S.R.L.,2 g/L,XD - Extra Dry,Light & Crisp,Blend,
Flat Rock Pinot Noir,$22.95,750 mL bottle |,VINTAGES#: 1545,"5.0
(2)",13%,"Ontario, Canada",Flat Rock Cellars,5 g/L,XD - Extra Dry,Medium-bodied & Fruity,Pinot Noir,02-Oct-21
Flat Rock Twisted White,$17.95,750 mL bottle |,VINTAGES#: 1578,"4.3
(3)",11%,"Ontario, Canada",Flat Rock Cellars,18 g/L,M - Medium,Aromatic & Flavourful,White Blend,01-Apr-21
Ruffino Chianti,$15.45,750 mL bottle |,LCBO#: 1743,"3.4
(5)",12.50%,"Tuscany, Italy",Ruffino S.R.L.,2 g/L,XD - Extra Dry,Medium-bodied & Fruity,Chianti,
Angels Gate Chardonnay VQA,$14.95,750 mL bottle |,LCBO#: 1818,0,13%,"Ontario, Canada",Angels Gate Winery,2 g/L,XD - Extra Dry,Aromatic & Flavourful,Chardonnay,
Spumante Bambino,$9.95,750 mL bottle |,LCBO#: 1826,"2.7
(30)",7%,Canada,"Arterra Wines Canada, Inc.",77 g/L,S - Sweet,Light & Fruity,Sparkling,
Susana Balbo Crios Torront̩s,$14.95,750 mL bottle |,VINTAGES#: 1834,"5.0
(2)",13.50%,Argentina,Dominio del Plata,2 g/L,XD - Extra Dry,Aromatic & Flavourful,Torrontes,01-Apr-21
